id;description;maximum;minimum;createdAt;updatedAt;dietGroupId;ingredientId
365;;4;4;2017-12-05 18:34:18.271+00;2017-12-05 18:34:18.271+00;5;154
366;;4;4;2017-12-05 18:34:19.146+00;2017-12-05 18:34:19.146+00;150;154
367;;4;4;2017-12-05 18:34:20.021+00;2017-12-05 18:34:20.021+00;144;154
368;;4;4;2017-12-05 18:34:21.422+00;2017-12-05 18:34:21.422+00;83;154
369;;4;4;2017-12-05 18:34:22.64+00;2017-12-05 18:34:22.64+00;103;154
370;;4;4;2017-12-05 18:34:23.513+00;2017-12-05 18:34:23.513+00;119;154
371;;4;4;2017-12-05 18:34:24.384+00;2017-12-05 18:34:24.384+00;1;154
372;;4;4;2017-12-05 18:34:25.083+00;2017-12-05 18:34:25.083+00;26;154
19;;4;;2017-12-05 18:27:10.185+00;2017-12-05 18:27:10.185+00;107;226
20;;0;;2017-12-05 18:27:12.629+00;2017-12-05 18:27:12.629+00;157;226
21;;4;;2017-12-05 18:27:15.073+00;2017-12-05 18:27:15.073+00;104;226
22;;4;;2017-12-05 18:27:17.516+00;2017-12-05 18:27:17.516+00;110;226
23;;4;;2017-12-05 18:27:19.952+00;2017-12-05 18:27:19.952+00;107;30
24;;0;;2017-12-05 18:27:22.395+00;2017-12-05 18:27:22.395+00;157;30
25;;4;;2017-12-05 18:27:24.831+00;2017-12-05 18:27:24.831+00;104;30
26;;4;;2017-12-05 18:27:27.27+00;2017-12-05 18:27:27.27+00;110;30
27;;80;;2017-12-05 18:27:28.496+00;2017-12-05 18:27:28.496+00;90;31
28;;80;;2017-12-05 18:27:30.415+00;2017-12-05 18:27:30.415+00;69;31
29;;80;;2017-12-05 18:27:32.514+00;2017-12-05 18:27:32.514+00;9;31
30;;80;;2017-12-05 18:27:33.74+00;2017-12-05 18:27:33.74+00;79;31
31;;80;;2017-12-05 18:27:34.615+00;2017-12-05 18:27:34.615+00;116;31
32;;80;;2017-12-05 18:27:35.842+00;2017-12-05 18:27:35.842+00;50;31
33;;80;;2017-12-05 18:27:37.252+00;2017-12-05 18:27:37.252+00;5;31
34;;80;;2017-12-05 18:27:38.153+00;2017-12-05 18:27:38.153+00;150;31
35;;80;;2017-12-05 18:27:39.062+00;2017-12-05 18:27:39.062+00;144;31
36;;80;;2017-12-05 18:27:40.516+00;2017-12-05 18:27:40.516+00;83;31
37;;80;;2017-12-05 18:27:41.78+00;2017-12-05 18:27:41.78+00;103;31
38;;80;;2017-12-05 18:27:42.674+00;2017-12-05 18:27:42.674+00;119;31
39;;80;;2017-12-05 18:27:43.582+00;2017-12-05 18:27:43.582+00;1;31
40;;80;;2017-12-05 18:27:44.314+00;2017-12-05 18:27:44.314+00;26;31
41;;100;;2017-12-05 18:27:45.569+00;2017-12-05 18:27:45.569+00;90;199
42;;100;;2017-12-05 18:27:47.503+00;2017-12-05 18:27:47.503+00;69;199
43;;100;;2017-12-05 18:27:49.595+00;2017-12-05 18:27:49.595+00;9;199
44;;100;;2017-12-05 18:27:50.835+00;2017-12-05 18:27:50.835+00;79;199
45;;100;;2017-12-05 18:27:51.753+00;2017-12-05 18:27:51.753+00;116;199
46;;100;;2017-12-05 18:27:53.001+00;2017-12-05 18:27:53.001+00;50;199
47;;100;;2017-12-05 18:27:54.397+00;2017-12-05 18:27:54.397+00;5;199
48;;100;;2017-12-05 18:27:55.273+00;2017-12-05 18:27:55.273+00;150;199
49;;100;;2017-12-05 18:27:56.149+00;2017-12-05 18:27:56.149+00;144;199
50;;100;;2017-12-05 18:27:57.552+00;2017-12-05 18:27:57.552+00;83;199
51;;100;;2017-12-05 18:27:58.777+00;2017-12-05 18:27:58.777+00;103;199
52;;100;;2017-12-05 18:27:59.682+00;2017-12-05 18:27:59.682+00;119;199
53;;100;;2017-12-05 18:28:00.561+00;2017-12-05 18:28:00.561+00;1;199
54;;100;;2017-12-05 18:28:01.265+00;2017-12-05 18:28:01.265+00;26;199
55;;100;;2017-12-05 18:28:02.499+00;2017-12-05 18:28:02.499+00;90;167
56;;100;;2017-12-05 18:28:04.427+00;2017-12-05 18:28:04.427+00;69;167
57;;100;;2017-12-05 18:28:06.515+00;2017-12-05 18:28:06.515+00;9;167
58;;100;;2017-12-05 18:28:07.756+00;2017-12-05 18:28:07.756+00;79;167
59;;100;;2017-12-05 18:28:08.662+00;2017-12-05 18:28:08.662+00;116;167
